title,created_utc,score,num_comments,url
Advent of Code 2024,2024-12-01 10:09:35,1155,456,https://adventofcode.com/2024/about
What does this button do? – My new car has a mysterious and undocumented switch,2024-11-29 20:59:47,682,496,https://blog.koenvh.nl/what-does-this-button-do-cm42u2oi7000a09l42f54g2pr
Engineers do not get to make startup mistakes when they build ledgers,2024-11-29 00:03:47,564,540,https://news.alvaroduran.com/p/engineers-do-not-get-to-make-startup
Breaking the 4Chan CAPTCHA,2024-11-29 21:32:22,559,327,https://www.nullpt.rs/breaking-the-4chan-captcha
The UX of Lego Interface Panels (2020),2024-11-28 20:00:47,553,47,https://interactionmagic.com/UX-LEGO-Interfaces/
Show HN: Open-source private home security camera system (end-to-end encryption),2024-11-30 23:13:49,484,150,https://github.com/privastead/privastead
Geometric line-art of Wacław Szpakowski (2017),2024-11-29 23:54:12,454,50,https://www.theparisreview.org/blog/2017/02/15/rhythmical-lines/
Show HN: Markwhen: Markdown for Timelines,2024-12-01 18:58:48,448,50,https://markwhen.com
Engineering Sleep,2024-11-30 05:33:32,435,184,https://minjunes.ai/posts/sleep/index.html
Ntfs2btrfs does in-place conversion of NTFS filesystem to the open-source Btrfs,2024-11-30 21:50:08,384,164,https://github.com/maharmstone/ntfs2btrfs
Rails is better low code than low code,2024-11-27 08:16:28,358,150,https://radanskoric.com/articles/rails-is-better-low-code-than-low-code
Honeycrisp apples went from marvel to mediocre,2024-11-30 17:44:19,335,298,https://www.seriouseats.com/how-honeycrisp-apples-went-from-marvel-to-mediocre-8753117
AMD Disables Zen 4's Loop Buffer,2024-11-30 21:47:35,315,136,https://chipsandcheese.com/p/amd-disables-zen-4s-loop-buffer
Sol-Ark manufacturer reportedly disables all Deye inverters in the US,2024-11-30 03:51:57,282,289,https://solarboi.com/2024/11/17/sol-ark-oem-disables-all-deye-inverters-in-the-us/
Safe relational database queries using the Rust type system,2024-11-30 10:29:39,265,157,https://blog.lucasholten.com/rust-query-announcement/
Kubernetes on Hetzner: cutting my infra bill by 75%,2024-12-01 16:43:40,265,145,https://bilbof.com/posts/kubernetes-on-hetzner
Jeff Dean responds to EDA industry about AlphaChip,2024-12-01 01:28:04,233,163,https://twitter.com/JeffDean/status/1858540085794451906
Vesuvius Challenge: First letters found in new scroll,2024-11-27 16:56:33,221,15,https://scrollprize.substack.com/p/first-letters-found-in-new-scroll
What Will Enter the Public Domain in 2025?,2024-12-01 21:17:02,218,172,https://publicdomainreview.org/features/entering-the-public-domain/2025/
Ask HN: How can I grow as an engineer without good seniors to learn from?,2024-12-01 19:56:22,211,148,
Kyawthuite is so rare it's only ever been found once,2024-12-01 14:49:00,203,86,https://www.sciencealert.com/the-worlds-rarest-mineral-is-so-rare-its-only-ever-been-found-once
Procedural knowledge in pretraining drives reasoning in large language models,2024-12-01 17:54:26,187,70,https://arxiv.org/abs/2411.12580
Handwriting but not typewriting leads to widespread connectivity in brain,2024-12-01 14:26:56,166,111,https://www.openread.academy/en/paper/reading?corpusId=503252214
Programming the C64 with Visual Studio Code,2024-12-01 22:29:38,161,23,https://retrogamecoders.com/c64-visual-studio-code/
The Opposite of Documentation is Superstition (2020),2024-11-27 09:32:39,149,78,https://buttondown.com/hillelwayne/archive/the-opposite-of-documentation-is-superstition/
WinDepends – A Rewrite of the Dependency Walker,2024-11-23 13:48:06,149,28,https://github.com/hfiref0x/WinDepends
